2009
Nov 7   - champagne, skyy, malibu
Dec 4   - sam adams, jack daniels

2010
Feb 6   - skyy (4), malibu (1)
Mar 3   - champagne
Mar 4   - raspberry smirnoff in coke
Mar 15  - sangria, kahlua in milk
Apr 10  - something of vaibhavi's (sip)
Apr 18  - raspberry smirnoff, southern comfort
Apr 24  - southern comfort (1/2 mug)
May 1   - jungle juice, bacardi
May 4   - bud light (sip)
May 24? - heineken (glass)
Jul 3   - bacardi, carlo rossi, kahlua, baileys
Jul 16  - smirnoff, jose cuervo (6)
Aug 26  - vodka (4)
Sep 11  - vanilla smirnoff (4-5)
Sep 17  - something of vini's (sip)
Sep 25  - corona extra (1), citrus smirnoff (in coke) (4-6)
Sep 29  - coors light (~3), spicy rum (1), skyy (4-6)
Nov 13  - goldschlager, southern comfort
Nov 23  - white wine
Nov 24  - vanilla smirnoff (~5)


2011
Jan 5   - kalyani beer (1)
Feb 24* - svedka, grey goose (~10)
Mar 13  - gin and club soda (sip)
Apr 6   - mike's lemonade (2), green apple smirnoff ice (1), patron silver (~4)
Apr 8   - vanilla smirnoff (3), baileys (3), american whiskey (2), mix of those (1)
Apr 9   - vanilla smirnoff (6-7)
Apr 22  - blue moon (1), moscato d'Asti (15 oz), stella rosa (15 oz), jagermeister (5) + Red Bull, jose cuervo (2)
May 13  - bacardi coconut (6)
May 16  - champagne (1)
May 31  - guinness (1 pint)
Jun 13  - limoncello (sip)
Jun 15  - limoncello (~1)
Jun 17  - white flowers (~2)
Jul 3   - finca labarca (swallow), jacob's creek chardonnay (swallow)
Jul 4   - argento (~150 ml), san rafael (~150 ml)
Jul 6   - olde english cider (1 pint), £2.26
Jul 7   - pimm's in coke (~1)
Jul 8   - white wine (~150 ml), red wine (~400 ml)
Jul 13  - castillo la paz (~350 ml), milton nero (1/2 pint)
Jul 14  - rekorderlig apple cider (50cl)
Jul 20  - abbot ale (1/2 pint), old speckled hen (1 pint)
Jul 25  - guinness (1 pint)
Jul 30  - B52, long island iced tea, tim collins, coconut rum in lemonade
Jul 31  - margarita (jose cuervo, ~3)
Aug 8   - pinot grigio (2), vega del castillo (1/2)
Aug 10  - merlot veneto castebello (2)
Aug 15  - white wine (1)
Aug 16  - pinot grigio (3), jameson's (1), st edmunds (1 pint), captain morgan in coke (sip), merlot veneto castebello (1)
Aug 23  - merlot veneto castebello (4), southern comfort (1)
Aug 25  - merlot veneto castebello (4), red wine (1), white wine (2)
Aug 26  - jaegermeister (8)
Sep 10* - bacardi torched cherry/melon (8), budweiser (1)
Oct 28  - chandon champagne (~300 mL)
Nov 5   - vodka (4-5)
Nov 18  - raspberry smirnoff (2), bacardi lemon (1), budweiser (1), some sips
Nov 24  - white wine (1)
